Unnamed: 0,Incident-ID,Status,Betreff,Beschreibung,Lösungsbeschreibung,Anfrageart,Gelöst Dauer in h,Erstellt Datum Zeit,Incident-Typ,Herkunft,edited,intent,webhelp article,webhelp article 2,webhelp article 3,webhelp article 4
71,20151029-0042,Geschlossen,Sitecore Element fÃƒÆ’Ã‚Â¼r IKM-Update-Seite,"Auf der IKM-Update-Seite wollte ich einen Text einsetzen, der keine eigeneÜberschrift hat, aber ueber die volle breite geht.
 Nun habe ich den Rich Text Teaser dafuer genutzt, welcher jedoch nur 50% breite annimmt.
 https://www.hslu.ch/de-ch/wirtschaft/agenda/veranstaltungen/2015/10/22/ikm-brand-journalism-and-corporate-storytelling/
Welches Element könnte ich noch dafuer verwenden?
 
 ","Falls ein Rich Text Teaser / Manueller Teaser verwendet wurde, ist darauf zu achten, dieser bei einer 100% Einstellung ab ca. drei Zeilen Text immer zweispaltig angezeigt wird. Fuer einspaltigen Fliesstext kann das Element ""Formatierter Text mit Bild"" verwendet werden. Dieser funktioniert auch ohne Bild. In diesem [Webhelp-Artikel](https://applsupport.hslu.ch/webhelp/index.html?hm_häufige_fehler.htm) findest du ganz zuunterst noch eine Auflistung welche Text-Elemente dopptelspaltig und welche einspaltig dargestellt werden.",Dokumentation nicht gelesen,0.7,29.10.2015 11:18,Service Request,E-Mail,yes,rich text teaser format,https://applsupport.hslu.ch/webhelp/index.html?hm_häufige_fehler.htm,,,
79,20151111-0040,Geschlossen,Sitecore," - Ich muss eine Seite auf Deutsch und Englisch ueberarbeiten. Ist es möglich, dass die deutsche und die englische Seite eine andere Struktur aufweisen (verschiedene Unterseiten) oder muss alles genau gleich sein?
 ","Deutsche und englische Seiten haben immer die gleiche Struktur. 
So lange von einem Element keine englische Version existiert, wird auf der englischen Seite die deutsche Version von diesem Element dargestellt (Fallback). Auf der englischen Seite ganz oben, wird man durch den Hinweis ""Some content is not available in englisch"" darauf aufmerksam gemacht. 
Wird ein Element gelöscht, dann wird es automatisch bei beiden Sprachversionen gelöscht. 
Die Erzeugung von einer englischen Version von einem Item erfolgt automatisch, sobald auf der englischen Seite bei diesem Item etwas geändert und gesichert wird.
",Dokumentation nicht gelesen,1.25,11.11.2015 10:47,Service Request,E-Mail,yes,site structure german english,https://applsupport.hslu.ch/webhelp/index.html?hm_sprachversion.htm,,,
91,20151209-0082,Geschlossen,Bilder in Sitecore mit Fehlermeldung,"
 Auf Sitecore wird mir fuer alle Bilder auf dieser Seite eine Fehlermeldung (Das Bild ist nicht weboptimiert) ausgegeben:
 https://www.hslu.ch/de-ch/wirtschaft/ueber-uns/institute/ikm/themenfelder/
 bzw.
 https://stage-www.hslu.ch/de-ch/wirtschaft/ueber-uns/institute/ikm/themenfelder/ 
 Allerdings habe ich nicht herausgefunden, wo das Problem liegt.
 Was sollte ich ändern bzw. gab es Änderungen, die dieses Problem aufgedeckt haben?
","Um Fehlermeldungen bei Bildern zu vermeidern, muss das Bild auf die richtige Grösse zugeschnitten werden, progressiv gespeichert werden und ohne Sonderzeichen benannt werden (Umlaute und Klammern sind z.B. nicht erlaubt).  
- Die Maquetten visualisieren, zu welchem Format ein Bild zugeschnitten werden muss. Zudem findest du hier eine Auflistung aller Bildergrössen: [https://applsupport.hslu.ch/webhelp/index.html?hm_maquetten.htm](https://applsupport.hslu.ch/webhelp/index.html?hm_maquetten.htm)
- Hier steht beschrieben, wie die Bilder aufbereitet werden müssen: [http://applsupport.hslu.ch/web12/index.html?hm_photoshop.htm](http://applsupport.hslu.ch/web12/index.html?hm_photoshop.htm)
- Hier die Anleitung zur Namenskonvention [https://applsupport.hslu.ch/webhelp/index.html?hm_präfixe_dateinamen.htm](https://applsupport.hslu.ch/webhelp/index.html?hm_präfixe_dateinamen.htm)
 ",Dokumentation nicht gelesen,0.38,09.12.2015 15:02,Service Request,E-Mail,yes,picture error,no,,,
95,20151216-0015,Geschlossen,Foto Kontaktbox,"
 Beim Einfuegen des Bilds von x gibt es immer eine Fehlermeldung. Und es wird mit schwarzen Balken eingefuegt. Ich habe es auf die nötige Pixelgrösse zugeschnitten. Was mache ich falsch?","Um Fehlermeldungen bei Bildern zu vermeidern, muss das Bild auf die richtige Grösse zugeschnitten werden, progressiv gespeichert werden und ohne Sonderzeichen benannt werden (Umlaute und Klammern sind z.B. nicht erlaubt).  
- Die Maquetten visualisieren, zu welchem Format ein Bild zugeschnitten werden muss. Zudem findest du hier eine Auflistung aller Bildergrössen: [https://applsupport.hslu.ch/webhelp/index.html?hm_maquetten.htm](https://applsupport.hslu.ch/webhelp/index.html?hm_maquetten.htm)
- Hier steht beschrieben, wie die Bilder aufbereitet werden müssen: [http://applsupport.hslu.ch/web12/index.html?hm_photoshop.htm](http://applsupport.hslu.ch/web12/index.html?hm_photoshop.htm)
- Hier die Anleitung zur Namenskonvention [https://applsupport.hslu.ch/webhelp/index.html?hm_präfixe_dateinamen.htm](https://applsupport.hslu.ch/webhelp/index.html?hm_präfixe_dateinamen.htm)
 ",Dokumentation nicht gelesen,10.97,16.12.2015 09:31,Service Request,E-Mail,yes,picture error,no,,,
107,20160215-0032,Geschlossen,Englische Version lÃƒÆ’Ã‚Â¶schen," Ich möchte die englische Seite https://www.hslu.ch/en/lucerne-school-of-music/ueber-uns/news/wir-gratulieren/ löschen. Da wir die wir gratulieren-Meldungen nicht auf Englisch übersetzen, macht es keinen Sinn, diese Seite in der englischen Version zu haben. 
 Kann ich die Version löschen oder macht ihr das? Ich möchte nichts Falsches machen
 ","Hier eine Anleitung wie Sprachversionen von Seiten gelöscht werden können: Den Content Editor starten (Ribbon-Menü > Campus > Backend):

1) Im Item-Tree die entsprechende Seite wählen und im Ribbon Menü zum Tab Versions wechseln.

2) Durch klicken auf den kleinen Sprachbutton ist ersichtlich, dass eine deutsche und eine englische Version der Seite vorhanden sind.

3) Durch klicken auf den grossen Sprachbutton zur löschenden Sprachversion wechseln (hier im Beispiel englisch).

4) Auf den Button Remove klicken.

5) Es erscheint ein Warnhinweis, ob die Version entfernt werden soll. Wenn Sie sicher sind, auf OK klicken.

6) Durch klicken auf den kleinen Sprachbutton ist ersichtlich, dass die englische Version gelöscht wurde. Bei Englsh:Englisch steht 0 versions.",Dokumentation nicht gelesen,34.1,15.02.2016 09:59,Service Request,E-Mail,yes,site delete english,https://applsupport.hslu.ch/webhelp/index.html?hm_sprachversion_einer_seite_lös.htm,,,
109,20160224-0065,Geschlossen,Wie Infobox im Web12 lÃƒÆ’¶schen,Wie kann die Infobox gelöscht werden?,"Die Infobox muss wieder ueber die Page Options von der Seite gelöst werden (so wie sie hinzugefuegt wurde).
1) Im Ribbon-Menü unter Campus > Page Options die leere Infobox der Seite zuweisen. Mit OK bestätigen.
2) Die Seite mit F5 (Refresh) oder mit Klick auf das Browser-Icon Sitecore_btn_window_refresh neu laden. Danach wird die neue leere Infobox auf der Seite dargestellt.
Hier die Anleitung mit Bilder: [https://applsupport.hslu.ch/webhelp/index.html?hm_infobox_löschen.htm](https://applsupport.hslu.ch/webhelp/hm_titel__text_eingeben.htm?zoom_highlightsub=infobox).",Dokumentation nicht gelesen,20.14,24.02.2016 11:42,Service Request,Telefon,yes,infobox delete,https://applsupport.hslu.ch/webhelp/index.html?hm_infobox_löschen.htm,https://applsupport.hslu.ch/webhelp/index.html?hm_infoboxtext.htm,,
114,20160322-0037,Geschlossen,WG: Diverses,"
 In der Weiterbildung CAS TaxCompliance haben wir auf der englischen Seite eine Unterseite ""Course Leaders""erstellt.Nun hat das System automatisch auch eine deutsche Seite (siehe Link unten) erstellt, da habe ich nicht genau daraufgeachtet.In der Linkliste fuehrt der Link Course Leaders von der deutschen SeiteCAS Tax nun auf eine nicht ausgefuellte Seite. Werde diesen Link nun extern setzen, damit er gleich auf die englische Seite fuehrt.
 Frage: kann diebestehende deutsche Seiteso belassen werden, ohne dassein User sie je findet?Oder kann die deutsche Seite gelöscht werden, ohne dass es auch die englische Seite löscht?
 ","Gemäss der Web Governance, müssen alle Inhalte auch auf Deutsch vorhanden sein. Daher muss von jeder Seite, jedem Element auf der Seite und jeder Datei immer eine deutsche Version vorliegen. Dies wurde technisch so umgesetzt, dass eine englische Seite nur erstellt werden, kann wenn bereits eine deutsche vorliegt. Ist diese noch nicht vorhanden, wird sie beim Erstellen der englischen Seite automatisch erstellt. Das gleiche gilt auch für Seiten Elemente. Bei Dateien erscheint eine Fehlermeldung wenn keine deutsche Version in der Media Library hochgeladen wurde.
Englische Seitenversionen sollten bei mindestenst den obersten beiden Ebenen der Website vorliegen. Dazu gehört die Stufe der Departemente (und des Daches) ebenso wie die Stufe ""Studium, Forschung, Dienstleistungen...""",Dokumentation nicht gelesen,2.58,22.03.2016 09:08,Service Request,E-Mail,yes,german english site,https://applsupport.hslu.ch/webhelp/index.html?hm_sprachversion.htm,,,
117,20160425-0094,Geschlossen,Link auf englischer Seite,"
 Auf der Seite: https://www.hslu.ch/de-ch/technik-architektur/forschung/kompetenzzentren/iimsn/
 habe ich auf der rechten Seite die Box Technologie Plattformen
 Der oberste Link: PLUS - Power Line Data BUS - Protocol & Technology Platform ist ein pdf auf Englisch.
 Nun habe ich das PDF auf der deutschen Seite unter: ta_flyerPLUS und auf der englischen unter: ta_flyerPLUS_eng abgespeichert.
 Trotzdem erscheint das only in German. Wo liegt der Fehler?","Damit der Hinweis ""only in German"" verschwindet, musst du in der Media Library vom Dokument eine englische Version anlegen. In der Media-Library ist es möglich, von einem Bild- oder Dokument-Item auch eine Sprachversion (EN) zu erstellen. So kann kann z.B. bei einem PDF-Item in der englischen Version auch ein englisches Dokument hochgeladen werden. Wird solch ein File-Item, zum Beispiel mit einer Link und Download Liste verlinkt, stellt Sitecoreautomatisch das richtige Dokument (PDF) entsprechen der aktuellen Sprache zur Verfügung. Dazu musst du in der Media Library in demselben Item, indem sich die deutsche Version befindet, die Sprache oben Rechts wechseln und dann das englische Dokument dort anhängen. Mehr dazu findest du [hier](https://applsupport.hslu.ch/webhelp/index.html?hm_file-item-englische-version-er.htm)",Dokumentation nicht gelesen,17.6,25.04.2016 16:24,Service Request,E-Mail,yes,warning only in german,https://applsupport.hslu.ch/webhelp/index.html?hm_file-item-englische-version-er.htm,,,
123,20160517-0079,Geschlossen,Sitecore > MyCampus > Anzeige,"
 Ich bin am Seitenaufbau fuer unseren Master. Habe hierfuer drei Teaser erstellt  blöd nun nur, dass der dritte Teaser rechtsbuendig und nicht linksbuendig angezeigt wird.
 Ich konnte leider nicht herausfinden, wie ich den MSCIFM-Teaser auf die linke Seite bugsieren kann.
 Könnt ihr mir bitte helfen?","Manchmal kann es dazu kommen, dass Elemente nicht an der richtigen Stelle platziert werden. Werden z.B. mehrere Teaser platziert, werden diese automatisch angeordnet. Dies kann aber dazu führen, dass das Layout nicht wie gewünscht aussieht. Durch Einfügen eines geschützten Umbruch, kann das Layout strukturiert werden. So können unnötige Lücken vermieden werden oder einzelne Elemente linksbündig oder rechtsbündig platziert werden.
Wie das geht ist [hier](http://applsupport.hslu.ch/web12/index.html?hm_geschuetzten_umbruch_einfuegen.htm) beschrieben.
 ",Dokumentation nicht gelesen,36,17.05.2016 10:48,Service Request,E-Mail,yes,break,https://applsupport.hslu.ch/webhelp/index.html?hm_geschuetzten_umbruch_einfuegen.htm,,,
126,20160606-0059,Geschlossen,Bug? Moodboard Handy,"
 Es geht um die Seite:
 https://www.hslu.ch/de-ch/design-kunst/studium/vorkurs/
 Bei mir auf dem Handy erscheint ein altes mobile Moodboard (Jahresausstellung 2016), auf dem Desktop erscheint das richtige (Vorkurs, allgemein).
 Ich habe die History gelöscht auf dem Handy, aber es erscheint trotzdem das alte Moodboard.
 Der alte Slide ist im Backend absichtlich nicht GANZ gelöscht, er sollte aber unsichtbar sein (dieser Slide wurde noch nicht zur Seite hinzugefuegt).
 Ist dies ein Bug oder habe ich irgendwo etwas falsch gemacht?
 Falls es ein Bug ist, werde ich den alten Slide halt einfach löschen
 ","Für mobile und Desktop sind unterschiedliche Moodboards zugewiesen. Die sind nicht automatisch gleich und müssen bei mobile und bei Desktop separat zugewiesen bzw. entfernt werden. Wird das Moodboard in der mobilen Version falsch oder gar nicht angezeigt, liegt es oft daran, dass kein mobiles Moodboard erstellt wurde oder dieses nicht vollständig konfiguriert wurde. 
1. In der Media Library muss ein seperates Bild für die Desktop und MoileMoodboardversion hochgeladen werden. 
2. Beim Zuweisen von Bild zum Moodboard, muss bei mobile das mobile Bild ausgwählt werden.
3. Bei den Page Options muss der Seite sowohl ein Desktop Moodboard als auch ein mobiles Moodboard zugewiesen werden. 
Hier die Anleitungslinks dazu:
https://applsupport.hslu.ch/webhelp/hm_neues_bild_direkt_hochladen.htm
https://applsupport.hslu.ch/webhelp/index.html?hm_eigene_und___oder_shared_slide.htm",Dokumentation nicht gelesen,10.94,06.06.2016 11:42,Service Request,E-Mail,yes,moodboard mobile,no,,,
130,20160616-0056,Geschlossen,"Unterschiedliche Handhabung von ""Active Browser"" bei Internen oder Externen Links","
 Wie kann ich erreichen, dass bei einer Linkliste externe Links im selben Browser-Tab aufgehen?
 Wenn ich Active Browser wähle, öffnet sich die Website in einem neuen Tab. (zb. https://www.hslu.ch/de-ch/technik-architektur/forschung/kompetenzzentren/ihomelab/pruefstellen/minergie-modul-raumkomfort/ Linkliste auf der rechten Seite)
 Wenn ich das gleiche bei einem Sitecore Link mache, funktioniert es, und die Seite öffnet sich im aktuellen Browser Tab. (zb https://www.hslu.ch/de-ch/technik-architektur/forschung/kompetenzzentren/ihomelab/pruefstellen/ Linkliste auf der rechten Seite)
 Das Problem besteht in Chrome und Firefox (weitere Browser habe ich nicht getestet).
 
 ","Bei internen Verlinkungen wird kein neues Fenster geöffnet. Das dient der User Experience, vor allem bei der Nutzung von mobilen Geräten.
Bei externen Verlinkungen wird der Link in einem neuen Tab geöffnet. Dies aus dem Grund, da wir die User sonst verlieren. 
 ",Dokumentation nicht gelesen,12.2,16.06.2016 13:18,Service Request,E-Mail,yes,links internal external,no,,,
131,20160621-0078,Geschlossen,Sitecore IDS-Datenwelten: Bild-Platzhalter in mobiler Ansicht,"
 Mir ist aufgefallen, dass in der mobilen Ansicht der IDS-Datenwelten-Webseite ein Platzhalter angezeigt wird (siehe Anhang).
 Fuer das Moodboard habe ich jedoch eine mobile Ansicht in Sitecore hinzugefuegt. Könntest du das eventuell mal anschauen?
","Für mobile und Desktop sind unterschiedliche Moodboards zugewiesen. Die sind nicht automatisch gleich und müssen bei mobile und bei Desktop separat zugewiesen bzw. entfernt werden. Wird das Moodboard in der mobilen Version falsch oder gar nicht angezeigt, liegt es oft daran, dass kein mobiles Moodboard erstellt wurde oder dieses nicht vollständig konfiguriert wurde. 
1. In der Media Library muss ein seperates Bild für die Desktop und MoileMoodboardversion hochgeladen werden. 
2. Beim Zuweisen von Bild zum Moodboard, muss bei mobile das mobile Bild ausgwählt werden.
3. Bei den Page Options muss der Seite sowohl ein Desktop Moodboard als auch ein mobiles Moodboard zugewiesen werden. 
Hier die Anleitungslinks dazu:
https://applsupport.hslu.ch/webhelp/hm_neues_bild_direkt_hochladen.htm
https://applsupport.hslu.ch/webhelp/index.html?hm_eigene_und___oder_shared_slide.htm",Dokumentation nicht gelesen,25.02,21.06.2016 14:50,Service Request,E-Mail,yes,moodboard mobile,no,,,
133,20160624-0043,Geschlossen,Versionierung Teaser,"https://stage-www.hslu.ch/en/lucerne-school-of-music/agenda/veranstaltungen
 Hoihoi
 Auf der Agendaseite des Dept. Musik hab ich einen Teaser eingefuegt, worauf ich die englischsprachigen User aufmerksam mache, dass die Veranstaltungen nur auf der deutschen Agenda-Seite sichtbar sind. Ich habe den Teaser erstellt, aber nur eine englische Version gemacht. Trotzdem erscheint der nicht-erwuenschte Teaser auf der deutschen Seite. Weshalb?
 ","Deutsche und englische Seiten haben immer die gleiche Struktur. 
So lange von einem Element keine englische Version existiert, wird auf der englischen Seite die deutsche Version von diesem Element dargestellt (Fallback). Auf der englischen Seite ganz oben, wird man durch den Hinweis ""Some content is not available in englisch"" darauf aufmerksam gemacht. 
Wird ein Element gelöscht, dann wird es automatisch bei beiden Sprachversionen gelöscht. 
Die Erzeugung von einer englischen Version von einem Item erfolgt automatisch, sobald auf der englischen Seite bei diesem Item etwas geändert und gesichert wird.
",Dokumentation nicht gelesen,0.25,24.06.2016 14:30,Service Request,E-Mail,yes,site structure german english,https://applsupport.hslu.ch/webhelp/index.html?hm_sprachversion.htm,,,
